seq_id,sample_collection_decimal_date,state_code,state,host,sample_collection_date
1/TA-dg-RABV,2013.145205,TA,Taraba,Domestic dog,22/02/2013
2/TA-dg-RABV,2012.907104,TA,Taraba,Domestic dog,27/11/2012
3/BA-dg-RABV,2008.273224,BA,Bauchi,Domestic dog,09/04/2008
4/PL-dg-RABV,2011.358904,PL,Plateau,Domestic dog,12/05/2011
5/TA-dg-RABV,2014.457534,TA,Taraba,Domestic dog,16/06/2014
6/BA-dg-RABV,2010.734247,BA,Bauchi,Domestic dog,26/09/2010
7/TA-dg-RABV,2008.456284,TA,Taraba,Domestic dog,16/06/2008
8/PL-dg-RABV,2012.95082,PL,Plateau,Domestic dog,13/12/2012
9/BA-dg-RABV,2006.684932,BA,Bauchi,Domestic dog,08/09/2006
10/TA-dg-RABV,2009.284932,TA,Taraba,Domestic dog,14/04/2009
11/BA-dg-RABV,2023.947945,BA,Bauchi,Domestic dog,13/12/2023
12/PL-dg-RABV,2023.638356,PL,Plateau,Domestic dog,22/08/2023
13/PL-dg-RABV,2019.868493,PL,Plateau,Domestic dog,14/11/2019
14/PL-dg-RABV,2022.126027,PL,Plateau,Domestic dog,15/02/2022
15/PL-dg-RABV,2022.421918,PL,Plateau,Domestic dog,04/06/2022
16/PL-dg-RABV,2019.019178,PL,Plateau,Domestic dog,07/01/2019
17/PL-dg-RABV,2021.024658,PL,Plateau,Domestic dog,10/01/2021
18/TA-dg-RABV,2020.724044,TA,Taraba,Domestic dog,22/09/2020
19/TA-dg-RABV,2021.487671,TA,Taraba,Domestic dog,27/06/2021
20/TA-dg-RABV,2023.764384,TA,Taraba,Domestic dog,07/10/2023
21/TA-dg-RABV,2020.887978,TA,Taraba,Domestic dog,20/11/2020
22/PL-dg-RABV,2021.605479,PL,Plateau,Domestic dog,10/08/2021
23/TA-dg-RABV,2019.841096,TA,Taraba,Domestic dog,04/11/2019
24/PL-dg-RABV,2023.120548,PL,Plateau,Domestic dog,14/02/2023
25/TA-dg-RABV,2018.69863,TA,Taraba,Domestic dog,13/09/2018
26/TA-dg-RABV,2019.367123,TA,Taraba,Domestic dog,14/05/2019
27/PL-dg-RABV,2018.849315,PL,Plateau,Domestic dog,06/11/2018
28/PL-dg-RABV,2023.887671,PL,Plateau,Domestic dog,21/11/2023
29/PL-dg-RABV,2022.315068,PL,Plateau,Domestic dog,25/04/2022
30/PL-dg-RABV,2022.158904,PL,Plateau,Domestic dog,27/02/2022
31/PL-dg-RABV,2018.772603,PL,Plateau,Domestic dog,09/10/2018
32/TA-dg-RABV,2018.09589,TA,Taraba,Domestic dog,04/02/2018
33/BA-dg-RABV,2022.983562,BA,Bauchi,Domestic dog,26/12/2022
34/PL-dg-RABV,2022.926027,PL,Plateau,Domestic dog,04/12/2022
35/BA-dg-RABV,2021.528767,BA,Bauchi,Domestic dog,13/07/2021
36/PL-dg-RABV,2020.97541,PL,Plateau,Domestic dog,23/12/2020
37/BA-dg-RABV,2021.627397,BA,Bauchi,Domestic dog,17/08/2021
38/TA-dg-RABV,2023.090411,TA,Taraba,Domestic dog,03/02/2023
39/PL-dg-RABV,2020.939891,PL,Plateau,Domestic dog,10/12/2020
40/SO-hm-RABV,2023.808219,SO,Sokoto,Human,23/10/2023
41/TA-dg-RABV,2023.605479,TA,Taraba,Domestic dog,10/08/2023
42/PL-dg-RABV,2019.430137,PL,Plateau,Domestic dog,07/06/2019
43/PL-dg-RABV,2020.29235,PL,Plateau,Domestic dog,16/04/2020
44/BA-dg-RABV,2020.065574,BA,Bauchi,Domestic dog,24/01/2020
45/BA-dg-RABV,2018.942466,BA,Bauchi,Domestic dog,10/12/2018
46/BA-dg-RABV,2018.334247,BA,Bauchi,Domestic dog,02/05/2018
47/BA-dg-RABV,2023.180822,BA,Bauchi,Domestic dog,08/03/2023
48/TA-dg-RABV,2022.183562,TA,Taraba,Domestic dog,09/03/2022
49/BA-dg-RABV,2020.519126,BA,Bauchi,Domestic dog,09/07/2020
50/TA-dg-RABV,2022.334247,TA,Taraba,Domestic dog,02/05/2022
51/TA-dg-RABV,2020.20765,TA,Taraba,Domestic dog,17/03/2020
52/TA-dg-RABV,2018.465753,TA,Taraba,Domestic dog,20/06/2018
53/PL-dg-RABV,2021.515068,PL,Plateau,Domestic dog,08/07/2021
54/PL-dg-RABV,2020.855191,PL,Plateau,Domestic dog,08/11/2020
55/TA-dg-RABV,2020.587432,TA,Taraba,Domestic dog,03/08/2020
56/TA-dg-RABV,2019.076712,TA,Taraba,Domestic dog,29/01/2019
57/BA-dg-RABV,2020.098361,BA,Bauchi,Domestic dog,05/02/2020
58/BA-dg-RABV,2021.654795,BA,Bauchi,Domestic dog,28/08/2021
59/PL-dg-RABV,2018.761644,PL,Plateau,Domestic dog,06/10/2018
60/PL-dg-RABV,2018.983562,PL,Plateau,Domestic dog,26/12/2018
