seq_id	year	state	host
1/TA-dg-RABV	2013	Taraba	Domestic dog
2/TA-dg-RABV	2013	Taraba	Domestic dog
3/BA-dg-RABV	2008	Bauchi	Domestic dog
4/PL-dg-RABV	2011	Plateau	Domestic dog
5/TA-dg-RABV	2014	Taraba	Domestic dog
6/BA-dg-RABV	2011	Bauchi	Domestic dog
7/TA-dg-RABV	2008	Taraba	Domestic dog
8/PL-dg-RABV	2013	Plateau	Domestic dog
9/BA-dg-RABV	2007	Bauchi	Domestic dog
10/TA-dg-RABV	2009	Taraba	Domestic dog
11/BA-dg-RABV	2024	Bauchi	Domestic dog
12/PL-dg-RABV	2024	Plateau	Domestic dog
13/PL-dg-RABV	2020	Plateau	Domestic dog
14/PL-dg-RABV	2022	Plateau	Domestic dog
15/PL-dg-RABV	2022	Plateau	Domestic dog
16/PL-dg-RABV	2019	Plateau	Domestic dog
17/PL-dg-RABV	2021	Plateau	Domestic dog
18/TA-dg-RABV	2021	Taraba	Domestic dog
19/TA-dg-RABV	2021	Taraba	Domestic dog
20/TA-dg-RABV	2024	Taraba	Domestic dog
21/TA-dg-RABV	2021	Taraba	Domestic dog
22/PL-dg-RABV	2022	Plateau	Domestic dog
23/TA-dg-RABV	2020	Taraba	Domestic dog
24/PL-dg-RABV	2023	Plateau	Domestic dog
25/TA-dg-RABV	2019	Taraba	Domestic dog
26/TA-dg-RABV	2019	Taraba	Domestic dog
27/PL-dg-RABV	2019	Plateau	Domestic dog
28/PL-dg-RABV	2024	Plateau	Domestic dog
29/PL-dg-RABV	2022	Plateau	Domestic dog
30/PL-dg-RABV	2022	Plateau	Domestic dog
31/PL-dg-RABV	2019	Plateau	Domestic dog
32/TA-dg-RABV	2018	Taraba	Domestic dog
33/BA-dg-RABV	2023	Bauchi	Domestic dog
34/PL-dg-RABV	2023	Plateau	Domestic dog
35/BA-dg-RABV	2022	Bauchi	Domestic dog
36/PL-dg-RABV	2021	Plateau	Domestic dog
37/BA-dg-RABV	2022	Bauchi	Domestic dog
38/TA-dg-RABV	2023	Taraba	Domestic dog
39/PL-dg-RABV	2021	Plateau	Domestic dog
40/SO-hm-RABV	2024	Sokoto	Human
41/TA-dg-RABV	2024	Taraba	Domestic dog
42/PL-dg-RABV	2019	Plateau	Domestic dog
43/PL-dg-RABV	2020	Plateau	Domestic dog
44/BA-dg-RABV	2020	Bauchi	Domestic dog
45/BA-dg-RABV	2019	Bauchi	Domestic dog
46/BA-dg-RABV	2018	Bauchi	Domestic dog
47/BA-dg-RABV	2023	Bauchi	Domestic dog
48/TA-dg-RABV	2022	Taraba	Domestic dog
49/BA-dg-RABV	2021	Bauchi	Domestic dog
50/TA-dg-RABV	2022	Taraba	Domestic dog
51/TA-dg-RABV	2020	Taraba	Domestic dog
52/TA-dg-RABV	2018	Taraba	Domestic dog
53/PL-dg-RABV	2022	Plateau	Domestic dog
54/PL-dg-RABV	2021	Plateau	Domestic dog
55/TA-dg-RABV	2021	Taraba	Domestic dog
56/TA-dg-RABV	2019	Taraba	Domestic dog
57/BA-dg-RABV	2020	Bauchi	Domestic dog
58/BA-dg-RABV	2022	Bauchi	Domestic dog
59/PL-dg-RABV	2019	Plateau	Domestic dog
60/PL-dg-RABV	2019	Plateau	Domestic dog
