"seq_id"	"sample_collection_decimal_date"	"state_code"	"state"	"host"	"sample_collection_date"
"1TAdgRABV"	2013.14520547945	"TA"	"Taraba"	"Domestic dog"	20130222
"2TAdgRABV"	2012.90710382514	"TA"	"Taraba"	"Domestic dog"	20121127
"3BAdgRABV"	2008.27322404372	"BA"	"Bauchi"	"Domestic dog"	20080409
"4PLdgRABV"	2011.35890410959	"PL"	"Plateau"	"Domestic dog"	20110512
"5TAdgRABV"	2014.45753424658	"TA"	"Taraba"	"Domestic dog"	20140616
"6BAdgRABV"	2010.73424657534	"BA"	"Bauchi"	"Domestic dog"	20100926
"7TAdgRABV"	2008.45628415301	"TA"	"Taraba"	"Domestic dog"	20080616
"8PLdgRABV"	2012.95081967213	"PL"	"Plateau"	"Domestic dog"	20121213
"9BAdgRABV"	2006.68493150685	"BA"	"Bauchi"	"Domestic dog"	20060908
"10TAdgRABV"	2009.28493150685	"TA"	"Taraba"	"Domestic dog"	20090414
"11BAdgRABV"	2023.94794520548	"BA"	"Bauchi"	"Domestic dog"	20231213
"12PLdgRABV"	2023.63835616438	"PL"	"Plateau"	"Domestic dog"	20230822
"13PLdgRABV"	2019.86849315069	"PL"	"Plateau"	"Domestic dog"	20191114
"14PLdgRABV"	2022.12602739726	"PL"	"Plateau"	"Domestic dog"	20220215
"15PLdgRABV"	2022.42191780822	"PL"	"Plateau"	"Domestic dog"	20220604
"16PLdgRABV"	2019.01917808219	"PL"	"Plateau"	"Domestic dog"	20190107
"17PLdgRABV"	2021.02465753425	"PL"	"Plateau"	"Domestic dog"	20210110
"18TAdgRABV"	2020.72404371585	"TA"	"Taraba"	"Domestic dog"	20200922
"19TAdgRABV"	2021.48767123288	"TA"	"Taraba"	"Domestic dog"	20210627
"20TAdgRABV"	2023.76438356164	"TA"	"Taraba"	"Domestic dog"	20231007
"21TAdgRABV"	2020.88797814208	"TA"	"Taraba"	"Domestic dog"	20201120
"22PLdgRABV"	2021.60547945205	"PL"	"Plateau"	"Domestic dog"	20210810
"23TAdgRABV"	2019.84109589041	"TA"	"Taraba"	"Domestic dog"	20191104
"24PLdgRABV"	2023.12054794521	"PL"	"Plateau"	"Domestic dog"	20230214
"25TAdgRABV"	2018.69863013699	"TA"	"Taraba"	"Domestic dog"	20180913
"26TAdgRABV"	2019.36712328767	"TA"	"Taraba"	"Domestic dog"	20190514
"27PLdgRABV"	2018.84931506849	"PL"	"Plateau"	"Domestic dog"	20181106
"28PLdgRABV"	2023.88767123288	"PL"	"Plateau"	"Domestic dog"	20231121
"29PLdgRABV"	2022.31506849315	"PL"	"Plateau"	"Domestic dog"	20220425
"30PLdgRABV"	2022.15890410959	"PL"	"Plateau"	"Domestic dog"	20220227
"31PLdgRABV"	2018.77260273973	"PL"	"Plateau"	"Domestic dog"	20181009
"32TAdgRABV"	2018.09589041096	"TA"	"Taraba"	"Domestic dog"	20180204
"33BAdgRABV"	2022.98356164384	"BA"	"Bauchi"	"Domestic dog"	20221226
"34PLdgRABV"	2022.92602739726	"PL"	"Plateau"	"Domestic dog"	20221204
"35BAdgRABV"	2021.52876712329	"BA"	"Bauchi"	"Domestic dog"	20210713
"36PLdgRABV"	2020.97540983607	"PL"	"Plateau"	"Domestic dog"	20201223
"37BAdgRABV"	2021.62739726027	"BA"	"Bauchi"	"Domestic dog"	20210817
"38TAdgRABV"	2023.0904109589	"TA"	"Taraba"	"Domestic dog"	20230203
"39PLdgRABV"	2020.93989071038	"PL"	"Plateau"	"Domestic dog"	20201210
"40SOhmRABV"	2023.80821917808	"SO"	"Sokoto"	"Human"	20231023
"41TAdgRABV"	2023.60547945205	"TA"	"Taraba"	"Domestic dog"	20230810
"42PLdgRABV"	2019.4301369863	"PL"	"Plateau"	"Domestic dog"	20190607
"43PLdgRABV"	2020.29234972678	"PL"	"Plateau"	"Domestic dog"	20200416
"44BAdgRABV"	2020.06557377049	"BA"	"Bauchi"	"Domestic dog"	20200124
"45BAdgRABV"	2018.94246575342	"BA"	"Bauchi"	"Domestic dog"	20181210
"46BAdgRABV"	2018.33424657534	"BA"	"Bauchi"	"Domestic dog"	20180502
"47BAdgRABV"	2023.18082191781	"BA"	"Bauchi"	"Domestic dog"	20230308
"48TAdgRABV"	2022.18356164384	"TA"	"Taraba"	"Domestic dog"	20220309
"49BAdgRABV"	2020.51912568306	"BA"	"Bauchi"	"Domestic dog"	20200709
"50TAdgRABV"	2022.33424657534	"TA"	"Taraba"	"Domestic dog"	20220502
"51TAdgRABV"	2020.20765027322	"TA"	"Taraba"	"Domestic dog"	20200317
"52TAdgRABV"	2018.46575342466	"TA"	"Taraba"	"Domestic dog"	20180620
"53PLdgRABV"	2021.51506849315	"PL"	"Plateau"	"Domestic dog"	20210708
"54PLdgRABV"	2020.85519125683	"PL"	"Plateau"	"Domestic dog"	20201108
"55TAdgRABV"	2020.58743169399	"TA"	"Taraba"	"Domestic dog"	20200803
"56TAdgRABV"	2019.07671232877	"TA"	"Taraba"	"Domestic dog"	20190129
"57BAdgRABV"	2020.09836065574	"BA"	"Bauchi"	"Domestic dog"	20200205
"58BAdgRABV"	2021.65479452055	"BA"	"Bauchi"	"Domestic dog"	20210828
"59PLdgRABV"	2018.76164383562	"PL"	"Plateau"	"Domestic dog"	20181006
"60PLdgRABV"	2018.98356164384	"PL"	"Plateau"	"Domestic dog"	20181226
