"ID","year","country","assignment"
"EU038083",2006,"Nigeria","Africa-2"
"EU038084",2006,"Nigeria","Africa-2"
"EU038085",2006,"Nigeria","Africa-2"
"EU038086",2006,"Nigeria","Africa-2"
"EU038087",2006,"Nigeria","Africa-2"
"EU038088",2006,"Nigeria","Africa-2"
"EU038089",2005,"Nigeria","Africa-2"
"EU038090",2005,"Nigeria","Africa-2"
"EU038091",2006,"Nigeria","Africa-2"
"EU038092",2006,"Nigeria","Africa-2"
"EU038093",2005,"Nigeria","Africa-2"
"EU038094",2006,"Nigeria","Africa-2"
"EU038095",2006,"Nigeria","Africa-2"
"EU038096",2006,"Nigeria","Africa-2"
"EU038097",2006,"Nigeria","Africa-2"
"EU038098",2006,"Nigeria","Africa-2"
"EU038099",2006,"Nigeria","Africa-2"
"EU038100",2006,"Nigeria","Africa-2"
"EU038101",2006,"Nigeria","Africa-2"
"EU038102",2006,"Nigeria","Africa-2"
"EU038103",2006,"Nigeria","Africa-2"
"EU038104",2006,"Nigeria","Africa-2"
"EU038105",2006,"Nigeria","Africa-2"
"EU038106",2006,"Nigeria","Africa-2"
"EU038108",2006,"Nigeria","Africa-2"
"EU038109",2006,"Nigeria","Africa-2"
"EU478492",2007,"Burkina Faso","Africa-2"
"EU478493",2007,"Burkina Faso","Africa-2"
"EU478494",2007,"Burkina Faso","Africa-2"
"EU478495",2007,"Burkina Faso","Africa-2"
"EU478496",2007,"Burkina Faso","Africa-2"
"EU478497",2007,"Burkina Faso","Africa-2"
"EU478498",2007,"Burkina Faso","Africa-2"
"EU478499",2007,"Burkina Faso","Africa-2"
"EU478500",2007,"Burkina Faso","Africa-2"
"EU478501",2007,"Burkina Faso","Africa-2"
"EU478502",2007,"Burkina Faso","Africa-2"
"EU478503",2007,"Burkina Faso","Africa-2"
"EU478504",2007,"Burkina Faso","Africa-2"
"EU478505",2007,"Burkina Faso","Africa-2"
"EU478506",2007,"Burkina Faso","Africa-2"
"EU478507",2007,"Burkina Faso","Africa-2"
"EU478508",2007,"Burkina Faso","Africa-2"
"EU478509",2007,"Burkina Faso","Africa-2"
"EU478510",2007,"Burkina Faso","Africa-2"
"EU478511",2007,"Burkina Faso","Africa-2"
"EU478512",2007,"Burkina Faso","Africa-2"
"EU478513",2007,"Burkina Faso","Africa-2"
"EU478514",2007,"Burkina Faso","Africa-2"
"EU478515",2007,"Burkina Faso","Africa-2"
"EU478516",2007,"Burkina Faso","Africa-2"
"EU478517",2007,"Burkina Faso","Africa-2"
"EU478518",2007,"Burkina Faso","Africa-2"
"EU478519",2007,"Burkina Faso","Africa-2"
"EU478520",2007,"Burkina Faso","Africa-2"
"EU478521",2007,"Burkina Faso","Africa-2"
"EU478522",2007,"Burkina Faso","Africa-2"
"EU478523",2007,"Burkina Faso","Africa-2"
"EU478524",2007,"Burkina Faso","Africa-2"
"EU514571",2007,"Niger","Africa-2"
"EU514572",2007,"Niger","Africa-2"
"EU514573",2007,"Niger","Africa-2"
"EU514574",2007,"Niger","Africa-2"
"EU514575",2005,"Mauritania","Africa-2"
"EU514576",2005,"Mauritania","Africa-2"
"EU514577",2005,"Mauritania","Africa-2"
"EU514578",2006,"Mauritania","Africa-2"
"EU514579",2006,"Mauritania","Africa-2"
"EU514580",2006,"Mauritania","Africa-2"
"EU514581",2007,"Mauritania","Africa-2"
"EU718735",2006,"Chad","Africa-2"
"EU718736",2006,"Chad","Africa-2"
"EU718737",2006,"Chad","Africa-2"
"EU718738",2006,"Chad","Africa-2"
"EU718739",2006,"Chad","Africa-2"
"EU718740",2006,"Chad","Africa-2"
"EU718741",2006,"Chad","Africa-2"
"EU718742",2006,"Chad","Africa-2"
"EU718743",2006,"Chad","Africa-2"
"EU718744",2006,"Chad","Africa-2"
"EU718745",2006,"Chad","Africa-2"
"EU718746",2006,"Chad","Africa-2"
"EU718747",2006,"Chad","Africa-2"
"EU718748",2006,"Chad","Africa-2"
"EU718749",2006,"Chad","Africa-2"
"EU718750",2006,"Chad","Africa-2"
"EU718751",2006,"Chad","Africa-2"
"EU718752",2006,"Chad","Africa-2"
"EU718753",2006,"Chad","Africa-2"
"EU718754",2006,"Chad","Africa-2"
"EU718755",2006,"Chad","Africa-2"
"EU718756",2006,"Chad","Africa-2"
"EU718757",2006,"Chad","Africa-2"
"EU718758",2006,"Chad","Africa-2"
"EU718759",2006,"Chad","Africa-2"
"EU718760",2006,"Chad","Africa-2"
"EU718761",2006,"Chad","Africa-2"
"EU718762",2006,"Chad","Africa-2"
"EU718763",2006,"Chad","Africa-2"
"EU718764",2006,"Chad","Africa-2"
"EU718766",2006,"Chad","Africa-2"
"EU718767",2006,"Chad","Africa-2"
"EU718768",2006,"Chad","Africa-2"
"EU718769",2006,"Chad","Africa-2"
"EU718770",2006,"Chad","Africa-2"
"EU718771",2006,"Chad","Africa-2"
"EU718772",2006,"Chad","Africa-2"
"EU718773",2006,"Chad","Africa-2"
"EU718774",2006,"Chad","Africa-2"
"EU718775",2006,"Chad","Africa-2"
"EU718776",2006,"Chad","Africa-2"
"EU718777",2006,"Chad","Africa-2"
"EU718778",2006,"Chad","Africa-2"
"EU718779",2006,"Chad","Africa-2"
"EU718780",2006,"Chad","Africa-2"
"EU718781",2006,"Chad","Africa-2"
"EU718782",2006,"Chad","Africa-2"
"EU718783",2006,"Chad","Africa-2"
"EU718784",2006,"Chad","Africa-2"
"EU718785",2006,"Chad","Africa-2"
"EU718786",2006,"Chad","Africa-2"
"EU718787",2006,"Chad","Africa-2"
"EU827268",2007,"Burkina Faso","Africa-2"
"EU827269",2007,"Burkina Faso","Africa-2"
"EU827270",2007,"Burkina Faso","Africa-2"
"EU827271",2007,"Burkina Faso","Africa-2"
"EU827272",2007,"Burkina Faso","Africa-2"
"EU827273",2007,"Burkina Faso","Africa-2"
"EU827274",2007,"Burkina Faso","Africa-2"
"EU827275",2007,"Burkina Faso","Africa-2"
"EU853591",2008,"Gambia","Africa-2"
"EU853592",2005,"Senegal","Africa-2"
"EU853593",1986,"Guinea","Africa-2"
"EU853594",1993,"Guinea","Africa-2"
"EU853595",1997,"Sierra Leone","Africa-2"
"EU853596",2007,"Mali","Africa-2"
"EU853597",2007,"Mali","Africa-2"
"EU853598",2006,"Mali","Africa-2"
"EU853599",2007,"Mali","Africa-2"
"EU853600",2007,"Mali","Africa-2"
"EU853601",2006,"Mali","Africa-2"
"EU853602",2006,"Mali","Africa-2"
"EU853603",2007,"-","Africa-2"
"EU853604",2007,"Mali","Africa-2"
"EU853605",2006,"Mali","Africa-2"
"EU853606",1993,"Mauritania","Africa-2"
"EU853607",1991,"Mauritania","Africa-2"
"EU853608",1991,"Mauritania","Africa-2"
"EU853609",1993,"Mauritania","Africa-2"
"EU853610",1993,"Mauritania","Africa-2"
"EU853611",1994,"Mauritania","Africa-2"
"EU853612",2007,"Mali","Africa-2"
"EU853613",1992,"Mauritania","Africa-2"
"EU853614",1986,"Burkina Faso","Africa-2"
"EU853615",2007,"Côte d'Ivoire","Africa-2"
"EU853616",1989,"Côte d'Ivoire","Africa-2"
"EU853617",1989,"Côte d'Ivoire","Africa-2"
"EU853618",1992,"Côte d'Ivoire","Africa-2"
"EU853619",1992,"Côte d'Ivoire","Africa-2"
"EU853620",2007,"Mali","Africa-2"
"EU853621",1989,"Côte d'Ivoire","Africa-2"
"EU853622",2006,"Mali","Africa-2"
"EU853623",2007,"Mali","Africa-2"
"EU853624",1991,"Mauritania","Africa-2"
"EU853645",1995,"Burkina Faso","Africa-2"
"EU853646",1990,"Niger","Africa-2"
"EU853647",1990,"Niger","Africa-2"
"EU853648",1990,"Niger","Africa-2"
"EU853649",1990,"Niger","Africa-2"
"EU853650",1987,"Niger","Africa-2"
"EU853651",2004,"Central African Republic","Africa-2"
"EU853652",1990,"Chad","Africa-2"
"EU853653",1996,"Chad","Africa-2"
"EU853654",1990,"Niger","Africa-2"
"EU853655",1987,"Chad","Africa-2"
"EU853656",1987,"Chad","Africa-2"
"EU853657",1987,"Chad","Africa-2"
"FJ392373",2003,"South Africa","Africa-3"
"FJ392375",1998,"South Africa","Africa-3"
"FJ392377",1999,"South Africa","Africa-3"
"FJ392378",1999,"South Africa","Africa-3"
"FJ392380",2006,"South Africa","Africa-3"
"FJ392383",1990,"South Africa","Africa-3"
"FJ392390",1993,"South Africa","Africa-3"
"JQ692981",2006,"South Africa","Africa-3"
"JQ692982",2007,"South Africa","Africa-3"
"JQ692984",2008,"South Africa","Africa-3"
"JQ692985",2006,"South Africa","Africa-3"
"JQ692987",2008,"South Africa","Africa-3"
"JQ692989",2006,"South Africa","Africa-3"
"JQ692992",2006,"South Africa","Africa-3"
"JQ692993",2006,"South Africa","Africa-3"
"JQ692994",2006,"South Africa","Africa-3"
"JQ692996",2007,"South Africa","Africa-3"
"JX088730",2007,"South Africa","Africa-3"
"KC196743",2011,"Nigeria","Africa-2"
"KF022169",2005,"Nigeria","Africa-2"
"KF022170",2005,"Nigeria","Africa-2"
"KF022171",2005,"Nigeria","Africa-2"
"KF022172",2005,"Nigeria","Africa-2"
"KF022173",2005,"Nigeria","Africa-2"
"KF022174",2005,"Nigeria","Africa-2"
"KF022175",2005,"Nigeria","Africa-2"
"KF022176",2005,"Nigeria","Africa-2"
"KF022177",2005,"Nigeria","Africa-2"
"KF022178",2005,"Nigeria","Africa-2"
"KF022179",2005,"Nigeria","Africa-2"
"KF022180",2005,"Nigeria","Africa-2"
"KF022181",2005,"Nigeria","Africa-2"
"KF022182",2005,"Nigeria","Africa-2"
