"ID","lineage","lineage_countries_seen","lineage_first_seen","lineage_last_seen"
"1/TA-dg-RABV","Africa-2_A1.2","c(""Burkina Faso"", ""Côte d'Ivoire"", ""France"", ""Guinea"", ""Liberia"", ""Mali"")",1986,2018
"5/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"56/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"26/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"10/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"2/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"20/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"25/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"51/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"52/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"55/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"18/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"23/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"19/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"41/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"21/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"32/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"59/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"28/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"39/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"36/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"3/BA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"6/BA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"9/BA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"11/BA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"33/BA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"46/BA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"57/BA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"35/BA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"45/BA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"37/BA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"58/BA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"44/BA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"47/BA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"49/BA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"4/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"60/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"15/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"17/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"38/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"22/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"24/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"53/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"12/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"30/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"40/SO-hm-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"31/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"42/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"48/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"50/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"8/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"16/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"29/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"54/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"27/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"43/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"13/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"34/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"14/PL-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
"7/TA-dg-RABV","Africa_A1","c(""Benin"", ""Botswana"", ""Chad"", ""Guinea"", ""Nigeria"", ""South Africa"")",1986,2014
