"seq_id"	"sample_collection_decimal_date"	"state_code"	"state"	"host"	"sample_collection_date"
"1/TA-dg-RABV"	2013.14520547945	"TA"	"Taraba"	"Domestic dog"	2013-02-22
"2/TA-dg-RABV"	2012.90710382514	"TA"	"Taraba"	"Domestic dog"	2012-11-27
"3/BA-dg-RABV"	2008.27322404372	"BA"	"Bauchi"	"Domestic dog"	2008-04-09
"4/PL-dg-RABV"	2011.35890410959	"PL"	"Plateau"	"Domestic dog"	2011-05-12
"5/TA-dg-RABV"	2014.45753424658	"TA"	"Taraba"	"Domestic dog"	2014-06-16
"6/BA-dg-RABV"	2010.73424657534	"BA"	"Bauchi"	"Domestic dog"	2010-09-26
"7/TA-dg-RABV"	2008.45628415301	"TA"	"Taraba"	"Domestic dog"	2008-06-16
"8/PL-dg-RABV"	2012.95081967213	"PL"	"Plateau"	"Domestic dog"	2012-12-13
"9/BA-dg-RABV"	2006.68493150685	"BA"	"Bauchi"	"Domestic dog"	2006-09-08
"10/TA-dg-RABV"	2009.28493150685	"TA"	"Taraba"	"Domestic dog"	2009-04-14
"11/BA-dg-RABV"	2023.94794520548	"BA"	"Bauchi"	"Domestic dog"	2023-12-13
"12/PL-dg-RABV"	2023.63835616438	"PL"	"Plateau"	"Domestic dog"	2023-08-22
"13/PL-dg-RABV"	2019.86849315069	"PL"	"Plateau"	"Domestic dog"	2019-11-14
"14/PL-dg-RABV"	2022.12602739726	"PL"	"Plateau"	"Domestic dog"	2022-02-15
"15/PL-dg-RABV"	2022.42191780822	"PL"	"Plateau"	"Domestic dog"	2022-06-04
"16/PL-dg-RABV"	2019.01917808219	"PL"	"Plateau"	"Domestic dog"	2019-01-07
"17/PL-dg-RABV"	2021.02465753425	"PL"	"Plateau"	"Domestic dog"	2021-01-10
"18/TA-dg-RABV"	2020.72404371585	"TA"	"Taraba"	"Domestic dog"	2020-09-22
"19/TA-dg-RABV"	2021.48767123288	"TA"	"Taraba"	"Domestic dog"	2021-06-27
"20/TA-dg-RABV"	2023.76438356164	"TA"	"Taraba"	"Domestic dog"	2023-10-07
"21/TA-dg-RABV"	2020.88797814208	"TA"	"Taraba"	"Domestic dog"	2020-11-20
"22/PL-dg-RABV"	2021.60547945205	"PL"	"Plateau"	"Domestic dog"	2021-08-10
"23/TA-dg-RABV"	2019.84109589041	"TA"	"Taraba"	"Domestic dog"	2019-11-04
"24/PL-dg-RABV"	2023.12054794521	"PL"	"Plateau"	"Domestic dog"	2023-02-14
"25/TA-dg-RABV"	2018.69863013699	"TA"	"Taraba"	"Domestic dog"	2018-09-13
"26/TA-dg-RABV"	2019.36712328767	"TA"	"Taraba"	"Domestic dog"	2019-05-14
"27/PL-dg-RABV"	2018.84931506849	"PL"	"Plateau"	"Domestic dog"	2018-11-06
"28/PL-dg-RABV"	2023.88767123288	"PL"	"Plateau"	"Domestic dog"	2023-11-21
"29/PL-dg-RABV"	2022.31506849315	"PL"	"Plateau"	"Domestic dog"	2022-04-25
"30/PL-dg-RABV"	2022.15890410959	"PL"	"Plateau"	"Domestic dog"	2022-02-27
"31/PL-dg-RABV"	2018.77260273973	"PL"	"Plateau"	"Domestic dog"	2018-10-09
"32/TA-dg-RABV"	2018.09589041096	"TA"	"Taraba"	"Domestic dog"	2018-02-04
"33/BA-dg-RABV"	2022.98356164384	"BA"	"Bauchi"	"Domestic dog"	2022-12-26
"34/PL-dg-RABV"	2022.92602739726	"PL"	"Plateau"	"Domestic dog"	2022-12-04
"35/BA-dg-RABV"	2021.52876712329	"BA"	"Bauchi"	"Domestic dog"	2021-07-13
"36/PL-dg-RABV"	2020.97540983607	"PL"	"Plateau"	"Domestic dog"	2020-12-23
"37/BA-dg-RABV"	2021.62739726027	"BA"	"Bauchi"	"Domestic dog"	2021-08-17
"38/TA-dg-RABV"	2023.0904109589	"TA"	"Taraba"	"Domestic dog"	2023-02-03
"39/PL-dg-RABV"	2020.93989071038	"PL"	"Plateau"	"Domestic dog"	2020-12-10
